"","X1","X2","X3"
"rho.MH.res",0.5,0.5,0.5
"rho.cur",0.500002021297836,0.50000892942287,0.499999771877746
"rho.cur.1",0.500002021297836,0.50000892942287,0.499999771877746
"rho.cur.2",0.499995866612294,0.500002583156051,0.499991094373914
"rho.cur.3",0.499995866612294,0.500002583156051,0.499991094373914
"rho.cur.4",0.499995866612294,0.500002583156051,0.499991094373914
"rho.cur.5",0.499995866612294,0.500002583156051,0.499991094373914
"rho.cur.6",0.499995866612294,0.500002583156051,0.499991094373914
"rho.cur.7",0.499999988893177,0.500008378976583,0.49999532368514
"rho.cur.8",0.499999988893177,0.500008378976583,0.49999532368514
"rho.cur.9",0.500002884537932,0.499992228065412,0.499998335096783
"rho.cur.10",0.499995485922694,0.500003482377473,0.499994993046832
"rho.cur.11",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.12",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.13",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.14",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.15",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.16",0.49999292966254,0.500003022892177,0.499982632994445
"rho.cur.17",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.18",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.19",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.20",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.21",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.22",0.499994180962904,0.500005534178894,0.499986067236529
"rho.cur.23",0.499990649213577,0.500021435973225,0.500000943474704
"rho.cur.24",0.499990649213577,0.500021435973225,0.500000943474704
"rho.cur.25",0.499983268230199,0.500031966686538,0.499992691869559
"rho.cur.26",0.499983268230199,0.500031966686538,0.499992691869559
"rho.cur.27",0.499986863279305,0.50001377696557,0.500003507827972
"rho.cur.28",0.499986863279305,0.50001377696557,0.500003507827972
"rho.cur.29",0.49998488902363,0.500005159300985,0.5000042713439
"rho.cur.30",0.49998488902363,0.500005159300985,0.5000042713439
"rho.cur.31",0.499988452516026,0.500023809712594,0.499990088876877
"rho.cur.32",0.499988452516026,0.500023809712594,0.499990088876877
"rho.cur.33",0.499986899242671,0.500040411377437,0.4999991078848
"rho.cur.34",0.499986899242671,0.500040411377437,0.4999991078848
"rho.cur.35",0.499986899242671,0.500040411377437,0.4999991078848
"rho.cur.36",0.499996768574379,0.500055693190154,0.500012474371893
"rho.cur.37",0.499991488107014,0.500052424696125,0.500022851792618
"rho.cur.38",0.499991488107014,0.500052424696125,0.500022851792618
"rho.cur.39",0.499991488107014,0.500052424696125,0.500022851792618
"rho.cur.40",0.499991488107014,0.500052424696125,0.500022851792618
"rho.cur.41",0.499992471149331,0.500041251299456,0.500032124536675
"rho.cur.42",0.499992471149331,0.500041251299456,0.500032124536675
"rho.cur.43",0.499992471149331,0.500041251299456,0.500032124536675
"rho.cur.44",0.499997673208266,0.500053705293173,0.500036936257416
"rho.cur.45",0.499989965586117,0.500068530255649,0.500036584377263
"rho.cur.46",0.49998759174034,0.500059382312531,0.5000317549113
"rho.cur.47",0.499988338102787,0.500068300303752,0.500034493233964
"rho.cur.48",0.499988338102787,0.500068300303752,0.500034493233964
"rho.cur.49",0.4999934487923,0.500058364599105,0.500041529533209
"rho.cur.50",0.499985865243706,0.500058246339094,0.50003330736259
"rho.cur.51",0.499985865243706,0.500058246339094,0.50003330736259
"rho.cur.52",0.499985865243706,0.500058246339094,0.50003330736259
"rho.cur.53",0.499979629039969,0.500051730068717,0.500033571116279
"rho.cur.54",0.499972095787893,0.500048507055026,0.50004837407853
"rho.cur.55",0.499972095787893,0.500048507055026,0.50004837407853
"rho.cur.56",0.499972095787893,0.500048507055026,0.50004837407853
"rho.cur.57",0.499972095787893,0.500048507055026,0.50004837407853
"rho.cur.58",0.499971747101294,0.500049558711909,0.500055612180964
"rho.cur.59",0.499971747101294,0.500049558711909,0.500055612180964
"rho.cur.60",0.499971747101294,0.500049558711909,0.500055612180964
"rho.cur.61",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.62",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.63",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.64",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.65",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.66",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.67",0.499980878109285,0.500040319841709,0.500045261936877
"rho.cur.68",0.499976796448641,0.500025088201929,0.500050745879617
"rho.cur.69",0.499968999982807,0.500013068619063,0.500038762409871
"rho.cur.70",0.499959548801528,0.500017387067554,0.500047970885064
"rho.cur.71",0.499952979624341,0.500012777938992,0.500055918219211
"rho.cur.72",0.499951175827985,0.50002134875671,0.500044322056815
"rho.cur.73",0.499951175827985,0.50002134875671,0.500044322056815
"rho.cur.74",0.499960137971509,0.500015373083633,0.500053713185364
"rho.cur.75",0.499960137971509,0.500015373083633,0.500053713185364
"rho.cur.76",0.499967951530563,0.500033303025169,0.500051867462716
"rho.cur.77",0.499967951530563,0.500033303025169,0.500051867462716
"rho.cur.78",0.499967951530563,0.500033303025169,0.500051867462716
"rho.cur.79",0.499967951530563,0.500033303025169,0.500051867462716
"rho.cur.80",0.499959364926447,0.500013654738758,0.500051900877264
"rho.cur.81",0.499968374767536,0.50003052467268,0.500050425989018
"rho.cur.82",0.499966997844433,0.500046713074418,0.500042842223728
"rho.cur.83",0.499970426650364,0.500057276615417,0.50005311000888
"rho.cur.84",0.499970426650364,0.500057276615417,0.50005311000888
"rho.cur.85",0.499960796588715,0.500071207319153,0.500059499827517
"rho.cur.86",0.499960796588715,0.500071207319153,0.500059499827517
"rho.cur.87",0.499960796588715,0.500071207319153,0.500059499827517
"rho.cur.88",0.499960796588715,0.500071207319153,0.500059499827517
"rho.cur.89",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.90",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.91",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.92",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.93",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.94",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.95",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.96",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.97",0.499956773966486,0.500081062049773,0.500067143033848
"rho.cur.98",0.499965886708158,0.500064702095818,0.50006441115869
"rho.cur.99",0.499966311372006,0.500055389177809,0.500050338963154
"rho.cur.100",0.499966311372006,0.500055389177809,0.500050338963154
"rho.cur.101",0.499961074358891,0.500062919211537,0.500063522753928
"rho.cur.102",0.499960642560446,0.500060299631106,0.500061951353376
"rho.cur.103",0.499960642560446,0.500060299631106,0.500061951353376
"rho.cur.104",0.499960642560446,0.500060299631106,0.500061951353376
"rho.cur.105",0.499960642560446,0.500060299631106,0.500061951353376
"rho.cur.106",0.49995607701024,0.50004914941567,0.500049808716458
"rho.cur.107",0.49996495746234,0.500035090432763,0.500052639149623
"rho.cur.108",0.49996495746234,0.500035090432763,0.500052639149623
"rho.cur.109",0.499965185688646,0.500015397505574,0.500057288259515
"rho.cur.110",0.499965185688646,0.500015397505574,0.500057288259515
"rho.cur.111",0.499966844868003,0.500018015930606,0.500054919139038
"rho.cur.112",0.499966844868003,0.500018015930606,0.500054919139038
"rho.cur.113",0.499966844868003,0.500018015930606,0.500054919139038
"rho.cur.114",0.499961760890847,0.500001345609771,0.500048234893717
"rho.cur.115",0.499961831519636,0.500018793970086,0.500040202718352
"rho.cur.116",0.499961831519636,0.500018793970086,0.500040202718352
"rho.cur.117",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.118",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.119",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.120",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.121",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.122",0.499962378681041,0.500011572024487,0.500047433318214
"rho.cur.123",0.499958297323924,0.499998831254477,0.500054313486603
"rho.cur.124",0.499958297323924,0.499998831254477,0.500054313486603
"rho.cur.125",0.499958297323924,0.499998831254477,0.500054313486603
"rho.cur.126",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.127",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.128",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.129",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.130",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.131",0.499955081124073,0.499992657167576,0.500053034390745
"rho.cur.132",0.499953004103079,0.499995318486448,0.500059138589688
"rho.cur.133",0.49995856364327,0.499999883535597,0.500067671867076
"rho.cur.134",0.49996442086549,0.500001913511232,0.500062597440349
"rho.cur.135",0.49996442086549,0.500001913511232,0.500062597440349
"rho.cur.136",0.49996442086549,0.500001913511232,0.500062597440349
"rho.cur.137",0.49996442086549,0.500001913511232,0.500062597440349
"rho.cur.138",0.49996442086549,0.500001913511232,0.500062597440349
"rho.cur.139",0.49996786790804,0.500018946954627,0.500071208351741
"rho.cur.140",0.499965337104904,0.500030565125942,0.500069243766421
"rho.cur.141",0.499967391466666,0.500016791880047,0.500082966943917
"rho.cur.142",0.499967391466666,0.500016791880047,0.500082966943917
"rho.cur.143",0.499967391466666,0.500016791880047,0.500082966943917
"rho.cur.144",0.499967391466666,0.500016791880047,0.500082966943917
"rho.cur.145",0.499967391466666,0.500016791880047,0.500082966943917
"rho.cur.146",0.499964679062799,0.500000086054588,0.50008556108753
"rho.cur.147",0.499964679062799,0.500000086054588,0.50008556108753
"rho.cur.148",0.499962469281894,0.500002346512703,0.50009319491653
"rho.cur.149",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.150",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.151",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.152",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.153",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.154",0.499963844794002,0.500005955676921,0.50008913279817
"rho.cur.155",0.499968187180655,0.500005903096981,0.500102245387079
"rho.cur.156",0.499968187180655,0.500005903096981,0.500102245387079
"rho.cur.157",0.499961465964303,0.500018255063715,0.500093554451191
"rho.cur.158",0.499965193803641,0.500002915077871,0.500105738486343
"rho.cur.159",0.499965193803641,0.500002915077871,0.500105738486343
"rho.cur.160",0.499965193803641,0.500002915077871,0.500105738486343
"rho.cur.161",0.499967312859306,0.499984694397021,0.50011976163622
"rho.cur.162",0.499967435748926,0.499984609614825,0.500112057696274
"rho.cur.163",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.164",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.165",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.166",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.167",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.168",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.169",0.499964173234524,0.49998033540098,0.500097501080309
"rho.cur.170",0.499961795056765,0.499974604700981,0.500099535121871
"rho.cur.171",0.499961795056765,0.499974604700981,0.500099535121871
"rho.cur.172",0.499961795056765,0.499974604700981,0.500099535121871
