"","X1","X2","X3","X4","X5","X6"
"sigma.MH.res",16.6130403277648,-0.662122651784812,-2.91829958074639,151.616029908719,-153.047969122705,171.329581409111
"X",15.0557664741946,-3.95617302492181,0.837025390184428,148.86957207306,-152.427852065591,174.984675434767
"X.1",15.0557664741946,-3.95617302492181,0.837025390184428,148.86957207306,-152.427852065591,174.984675434767
"X.2",14.3779519495738,-2.42813961192885,4.81239183730533,150.466676411989,-153.077297807959,177.926649411558
"X.3",14.3779519495738,-2.42813961192885,4.81239183730533,150.466676411989,-153.077297807959,177.926649411558
"X.4",14.3779519495738,-2.42813961192885,4.81239183730533,150.466676411989,-153.077297807959,177.926649411558
"X.5",14.3779519495738,-2.42813961192885,4.81239183730533,150.466676411989,-153.077297807959,177.926649411558
"X.6",14.3779519495738,-2.42813961192885,4.81239183730533,150.466676411989,-153.077297807959,177.926649411558
"X.7",14.6583374233169,0.96190161459228,3.18519263266673,148.007190910938,-149.34427810396,179.16173472011
"X.8",14.6583374233169,0.96190161459228,3.18519263266673,148.007190910938,-149.34427810396,179.16173472011
"X.9",17.9811433513833,2.65186733581206,2.69425989239564,150.658350735741,-151.127858224613,177.270130086108
"X.10",16.9649209880454,6.21663558870634,2.86859088129451,150.862304318535,-152.378838661415,177.085214865743
"X.11",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.12",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.13",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.14",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.15",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.16",20.4577929784728,2.89381723865947,2.0304475214248,153.655028650375,-151.273923072321,176.448284392594
"X.17",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.18",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.19",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.20",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.21",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.22",19.9141111073268,1.34183513574382,5.54508933722129,151.17945384218,-149.34466003376,176.262760802521
"X.23",20.0257067118956,3.53103478081604,6.88026786706498,148.732010302903,-145.813707852093,179.938268741011
"X.24",20.0257067118956,3.53103478081604,6.88026786706498,148.732010302903,-145.813707852093,179.938268741011
"X.25",23.7062044029308,4.11401115372857,7.08019270113757,149.62621312386,-147.398856587065,181.187004057108
"X.26",23.7062044029308,4.11401115372857,7.08019270113757,149.62621312386,-147.398856587065,181.187004057108
"X.27",26.9913637393338,6.13509281925937,8.80159692390909,148.891573110434,-145.810761180995,184.69552430266
"X.28",26.9913637393338,6.13509281925937,8.80159692390909,148.891573110434,-145.810761180995,184.69552430266
"X.29",29.9761342794819,7.10260569132945,11.9774001121437,152.884361335846,-144.504599971054,184.434478721931
"X.30",29.9761342794819,7.10260569132945,11.9774001121437,152.884361335846,-144.504599971054,184.434478721931
"X.31",29.6927318365497,8.68348570741793,13.602469624198,155.307496253239,-146.492537278039,184.694084934308
"X.32",29.6927318365497,8.68348570741793,13.602469624198,155.307496253239,-146.492537278039,184.694084934308
"X.33",32.0314808112753,10.768986109794,14.5677282635038,151.797600138771,-142.630299422247,188.171863214462
"X.34",32.0314808112753,10.768986109794,14.5677282635038,151.797600138771,-142.630299422247,188.171863214462
"X.35",32.0314808112753,10.768986109794,14.5677282635038,151.797600138771,-142.630299422247,188.171863214462
"X.36",33.6101127413286,11.862128973157,18.3474818292921,149.355385348039,-139.123862956939,186.625474722474
"X.37",37.0548592933638,11.6022442152359,14.6783650547182,150.89950830287,-136.726046615568,189.539057351067
"X.38",37.0548592933638,11.6022442152359,14.6783650547182,150.89950830287,-136.726046615568,189.539057351067
"X.39",37.0548592933638,11.6022442152359,14.6783650547182,150.89950830287,-136.726046615568,189.539057351067
"X.40",37.0548592933638,11.6022442152359,14.6783650547182,150.89950830287,-136.726046615568,189.539057351067
"X.41",38.363068761043,10.1212833804645,17.5822100371038,147.697744237097,-137.475049042431,187.012341884314
"X.42",38.363068761043,10.1212833804645,17.5822100371038,147.697744237097,-137.475049042431,187.012341884314
"X.43",38.363068761043,10.1212833804645,17.5822100371038,147.697744237097,-137.475049042431,187.012341884314
"X.44",42.2262847607208,10.2302908787139,17.6965718913739,148.663601107734,-140.745384105769,189.466355546727
"X.45",42.1288362515343,13.7017786839612,18.5393738124435,145.285156080338,-137.523692175103,193.400183343678
"X.46",45.8078178928418,16.5456794818499,18.2374395366674,149.260892169388,-138.875767988441,190.858470769017
"X.47",44.4660794303937,15.5487088972338,18.2921085275625,150.219186443674,-136.457603180138,189.521796589135
"X.48",44.4660794303937,15.5487088972338,18.2921085275625,150.219186443674,-136.457603180138,189.521796589135
"X.49",44.7561674320323,19.3838530892142,16.9736472155814,153.375606695028,-136.510777090964,189.092725652619
"X.50",47.8410438464207,20.5232772456118,19.0168974261647,151.419623797598,-133.691738087041,192.545681952848
"X.51",47.8410438464207,20.5232772456118,19.0168974261647,151.419623797598,-133.691738087041,192.545681952848
"X.52",47.8410438464207,20.5232772456118,19.0168974261647,151.419623797598,-133.691738087041,192.545681952848
"X.53",50.4283568446709,18.4512188082196,15.8578353684311,148.139389222326,-133.072782188011,189.880764690577
"X.54",47.5104849298669,17.4719177001723,18.1388959355568,151.085327762949,-129.275179588524,190.593839680194
"X.55",47.5104849298669,17.4719177001723,18.1388959355568,151.085327762949,-129.275179588524,190.593839680194
"X.56",47.5104849298669,17.4719177001723,18.1388959355568,151.085327762949,-129.275179588524,190.593839680194
"X.57",47.5104849298669,17.4719177001723,18.1388959355568,151.085327762949,-129.275179588524,190.593839680194
"X.58",49.6861753423882,14.3978157138087,18.4559453159486,147.491874603393,-130.033301153508,189.735021205037
"X.59",49.6861753423882,14.3978157138087,18.4559453159486,147.491874603393,-130.033301153508,189.735021205037
"X.60",49.6861753423882,14.3978157138087,18.4559453159486,147.491874603393,-130.033301153508,189.735021205037
"X.61",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.62",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
